DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
233997,233997,UT,19:26:58 22-Sep-2022,Argos,B,62.9269,-19.4443,28321,149651,5359,93,,,,,,
233997,233997,UT,19:28:38 22-Sep-2022,Argos,B,62.9704,-20.9326,11291,68387,1864,63,,,,,,
233997,233997,UT,19:47:09 22-Sep-2022,Argos,1,62.7602,-21.1895,674,5710,79,83,,,,,,
233997,233997,UT,20:08:56 22-Sep-2022,Argos,A,62.7569,-21.2038,1549,32422,74,98,,,,,,
233997,233997,UT,20:54:47 22-Sep-2022,Argos,B,62.7691,-21.2513,4002,8773,1825,83,,,,,,
233997,233997,UT,21:06:47 22-Sep-2022,Argos,2,62.7825,-21.3214,464,1285,167,94,,,,,,
233997,233997,UT,21:10:34 22-Sep-2022,Argos,1,62.7849,-21.2945,1337,8590,208,106,,,,,,
233997,233997,UT,21:16:23 22-Sep-2022,Argos,B,62.7835,-21.3296,1951,4263,892,90,,,,,,
233997,233997,UT,21:26:01 22-Sep-2022,Argos,2,62.7670,-21.3622,404,1371,118,83,,,,,,
233997,233997,UT,21:42:07 22-Sep-2022,Argos,2,62.7485,-21.3362,477,953,239,94,,,,,,
233997,233997,UT,21:45:39 22-Sep-2022,Argos,B,62.7490,-21.3403,1439,3077,673,90,,,,,,
233997,233997,UT,22:31:08 22-Sep-2022,Argos,2,62.7508,-21.5405,284,1317,61,95,,,,,,
233997,233997,UT,22:46:50 22-Sep-2022,Argos,2,62.7471,-21.5607,487,897,263,74,,,,,,
233997,233997,UT,22:50:27 22-Sep-2022,Argos,B,62.7459,-21.5852,4018,7525,2145,91,,,,,,
233997,233997,UT,22:56:37 22-Sep-2022,Argos,A,62.7216,-21.5970,2014,12224,331,89,,,,,,
233997,233997,UT,19:25:18 23-Sep-2022,Argos,B,62.7799,-23.5422,15810,22376,11171,102,,,,,,
233997,233997,UT,19:37:17 23-Sep-2022,Argos,B,62.7992,-23.5901,4779,297748,76,74,,,,,,
233997,233997,UT,19:54:31 23-Sep-2022,Argos,A,62.7411,-23.8652,771,18977,31,89,,,,,,
233997,233997,UT,20:34:06 23-Sep-2022,Argos,B,62.7946,-23.6767,2263,12560,407,74,,,,,,
233997,233997,UT,20:35:39 23-Sep-2022,Argos,B,62.7469,-23.8891,922,45977,18,100,,,,,,
233997,233997,UT,20:47:11 23-Sep-2022,Argos,B,62.7521,-23.9364,351,1210,101,42,,,,,,
233997,233997,UT,21:13:47 23-Sep-2022,Argos,1,62.7341,-24.0362,933,4367,199,98,,,,,,
233997,233997,UT,21:27:48 23-Sep-2022,Argos,B,62.7350,-24.0351,3083,7393,1285,91,,,,,,
233997,233997,UT,22:08:57 23-Sep-2022,Argos,1,62.6989,-24.0042,722,10517,49,82,,,,,,
233997,233997,UT,22:17:42 23-Sep-2022,Argos,A,62.6706,-24.0491,511,712,366,138,,,,,,
233997,233997,UT,22:27:24 23-Sep-2022,Argos,B,62.7478,-24.0802,968,4066,230,20,,,,,,
233997,233997,UT,22:43:03 23-Sep-2022,Argos,0,62.6628,-24.0794,13491,320268,568,79,,,,,,
233997,233997,UT,22:56:40 23-Sep-2022,Argos,B,62.6467,-24.1127,7653,30215,1938,100,,,,,,
233997,233997,UT,22:57:43 23-Sep-2022,Argos,B,62.6478,-24.1088,7609,24860,2328,95,,,,,,
233997,233997,UT,18:38:37 24-Sep-2022,Argos,B,62.6792,-25.2970,8306,30924,2231,76,,,,,,
233997,233997,UT,19:13:25 24-Sep-2022,Argos,Z,62.5752,-25.7238,10292,63415,1670,84,,,,,,
233997,233997,UT,19:23:22 24-Sep-2022,Argos,B,62.5669,-26.1239,319,1618,62,79,,,,,,
233997,233997,UT,20:14:30 24-Sep-2022,Argos,A,62.6082,-26.0888,3892,28830,525,67,,,,,,
233997,233997,UT,20:17:39 24-Sep-2022,Argos,B,62.6063,-26.0917,4062,15914,1037,70,,,,,,
233997,233997,UT,21:02:17 24-Sep-2022,Argos,B,62.6179,-26.1023,5371,11611,2484,82,,,,,,
233997,233997,UT,21:02:17 24-Sep-2022,Argos,A,62.5568,-26.2762,583,2193,155,112,,,,,,
233997,233997,UT,21:09:06 24-Sep-2022,Argos,B,62.5763,-26.2719,570,13650,23,98,,,,,,
233997,233997,UT,19:10:52 25-Sep-2022,Argos,B,63.3204,-26.0959,13000,57782,2924,81,,,,,,
